year,parent_entity,parent_type,total_emissions_MtCO2e
1992,CNOOC,State-owned Entity,29.16090486
1993,CNOOC,State-owned Entity,39.09477294
1994,CNOOC,State-owned Entity,54.4269407
1995,CNOOC,State-owned Entity,62.23482563
1996,CNOOC,State-owned Entity,77.18680845
1997,CNOOC,State-owned Entity,95.31752962
1998,CNOOC,State-owned Entity,97.46430267
1999,CNOOC,State-owned Entity,98.48965558
2000,CNOOC,State-owned Entity,72.64939773
2001,CNOOC,State-owned Entity,79.66625122
2002,CNOOC,State-owned Entity,101.6089683
2003,CNOOC,State-owned Entity,91.80933932
2004,CNOOC,State-owned Entity,93.22621568
2005,CNOOC,State-owned Entity,147.3332551
2006,CNOOC,State-owned Entity,98.65206677
2007,CNOOC,State-owned Entity,106.4970829
2008,CNOOC,State-owned Entity,114.9130065
2009,CNOOC,State-owned Entity,127.4208925
2010,CNOOC,State-owned Entity,164.366722
2011,CNOOC,State-owned Entity,159.924172
2012,CNOOC,State-owned Entity,163.4494895
2013,CNOOC,State-owned Entity,166.7383578
2014,CNOOC,State-owned Entity,174.4854793
2015,CNOOC,State-owned Entity,199.8880288
2016,CNOOC,State-owned Entity,184.1907728
2017,CNOOC,State-owned Entity,189.6153534
2018,CNOOC,State-owned Entity,191.8503048
2019,CNOOC,State-owned Entity,204.6334255
2020,CNOOC,State-owned Entity,212.6248676
2021,CNOOC,State-owned Entity,231.4713607
2022,CNOOC,State-owned Entity,252.1308944
1988,CNPC,State-owned Entity,72.75504829
1989,CNPC,State-owned Entity,436.5302898
1990,CNPC,State-owned Entity,440.9396866
1991,CNPC,State-owned Entity,446.9336885
1992,CNPC,State-owned Entity,452.5555674
1993,CNPC,State-owned Entity,465.88916
1994,CNPC,State-owned Entity,474.6823619
1995,CNPC,State-owned Entity,481.9941098
1996,CNPC,State-owned Entity,516.5968976
1997,CNPC,State-owned Entity,521.2161068
1998,CNPC,State-owned Entity,521.6503568
1999,CNPC,State-owned Entity,485.9984331
2000,CNPC,State-owned Entity,427.9983155
2001,CNPC,State-owned Entity,392.8608778
2002,CNPC,State-owned Entity,406.4076942
2003,CNPC,State-owned Entity,429.3939006
2004,CNPC,State-owned Entity,436.8871791
2005,CNPC,State-owned Entity,473.0917461
2006,CNPC,State-owned Entity,520.514963
2007,CNPC,State-owned Entity,554.2458864
2008,CNPC,State-owned Entity,579.7825428
2009,CNPC,State-owned Entity,595.0518229
2010,CNPC,State-owned Entity,630.1814635
2011,CNPC,State-owned Entity,528.0316259
2012,CNPC,State-owned Entity,551.9918733
2013,CNPC,State-owned Entity,576.2514847
2014,CNPC,State-owned Entity,773.4734155
2015,CNPC,State-owned Entity,791.1303759
2016,CNPC,State-owned Entity,795.9766906
2017,CNPC,State-owned Entity,850.789611
2018,CNPC,State-owned Entity,617.9930468
2019,CNPC,State-owned Entity,647.4643872
2020,CNPC,State-owned Entity,675.2638031
2021,CNPC,State-owned Entity,676.25042
2022,CNPC,State-owned Entity,702.1351051
2017,CNX Resources,Investor-owned Company,29.40658349
2018,CNX Resources,Investor-owned Company,36.71325669
2019,CNX Resources,Investor-owned Company,39.08104156
2020,CNX Resources,Investor-owned Company,37.06169066
2021,CNX Resources,Investor-owned Company,42.77722867
2022,CNX Resources,Investor-owned Company,42.03510229
1973,Coal India,State-owned Entity,145.1279604
1974,Coal India,State-owned Entity,153.6015378
1975,Coal India,State-owned Entity,177.9390913
1976,Coal India,State-owned Entity,183.1669787
1977,Coal India,State-owned Entity,176.7576023
1978,Coal India,State-owned Entity,178.111252
1979,Coal India,State-owned Entity,182.6872328
1980,Coal India,State-owned Entity,191.193305
1981,Coal India,State-owned Entity,214.9072033
1982,Coal India,State-owned Entity,224.3388674
1983,Coal India,State-owned Entity,235.3953139
1984,Coal India,State-owned Entity,255.3478692
1985,Coal India,State-owned Entity,264.461518
1986,Coal India,State-owned Entity,285.3078388
1987,Coal India,State-owned Entity,313.468093
1988,Coal India,State-owned Entity,332.0108631
1989,Coal India,State-owned Entity,353.0929709
1990,Coal India,State-owned Entity,360.1548304
1991,Coal India,State-owned Entity,413.9710694
1992,Coal India,State-owned Entity,434.9696017
1993,Coal India,State-owned Entity,432.97302
1994,Coal India,State-owned Entity,443.0476088
1995,Coal India,State-owned Entity,462.8495812
1996,Coal India,State-owned Entity,500.2150421
1997,Coal India,State-owned Entity,516.5011133
1998,Coal India,State-owned Entity,520.2236438
1999,Coal India,State-owned Entity,521.3841428
2000,Coal India,State-owned Entity,536.5106455
2001,Coal India,State-owned Entity,559.5405461
2002,Coal India,State-owned Entity,581.6300424
2003,Coal India,State-owned Entity,612.9835212
2004,Coal India,State-owned Entity,647.4383334
2005,Coal India,State-owned Entity,687.0753732
2006,Coal India,State-owned Entity,722.1304433
2007,Coal India,State-owned Entity,759.2463995
2008,Coal India,State-owned Entity,807.8072759
2009,Coal India,State-owned Entity,862.8909562
2010,Coal India,State-owned Entity,863.0110078
2011,Coal India,State-owned Entity,872.0548959
2012,Coal India,State-owned Entity,904.8109777
2013,Coal India,State-owned Entity,925.2377592
2014,Coal India,State-owned Entity,988.9051297
2015,Coal India,State-owned Entity,1077.963416
2016,Coal India,State-owned Entity,1108.756654
2017,Coal India,State-owned Entity,1135.228034
2018,Coal India,State-owned Entity,1214.302028
2019,Coal India,State-owned Entity,1204.79394
2020,Coal India,State-owned Entity,1192.95285
2021,Coal India,State-owned Entity,1245.795567
2022,Coal India,State-owned Entity,1407.031017
1924,ConocoPhillips,Investor-owned Company,0.300877923
1925,ConocoPhillips,Investor-owned Company,0.531969714
1926,ConocoPhillips,Investor-owned Company,7.650344636
1927,ConocoPhillips,Investor-owned Company,16.81831543
1928,ConocoPhillips,Investor-owned Company,18.76519419
1929,ConocoPhillips,Investor-owned Company,21.29535336
1930,ConocoPhillips,Investor-owned Company,22.60839673
1931,ConocoPhillips,Investor-owned Company,23.02246138
1932,ConocoPhillips,Investor-owned Company,23.06935255
1933,ConocoPhillips,Investor-owned Company,23.71758711
1934,ConocoPhillips,Investor-owned Company,25.50079607
1935,ConocoPhillips,Investor-owned Company,27.50085508
1936,ConocoPhillips,Investor-owned Company,29.84681427
1937,ConocoPhillips,Investor-owned Company,32.17503829
1938,ConocoPhillips,Investor-owned Company,28.74283744
1939,ConocoPhillips,Investor-owned Company,29.690074
1940,ConocoPhillips,Investor-owned Company,31.91619857
1941,ConocoPhillips,Investor-owned Company,36.10896955
1942,ConocoPhillips,Investor-owned Company,36.32870439
1943,ConocoPhillips,Investor-owned Company,38.97382169
1944,ConocoPhillips,Investor-owned Company,43.6251832
1945,ConocoPhillips,Investor-owned Company,47.15800541
1946,ConocoPhillips,Investor-owned Company,78.65526823
1947,ConocoPhillips,Investor-owned Company,83.01951577
1948,ConocoPhillips,Investor-owned Company,89.82640702
1949,ConocoPhillips,Investor-owned Company,86.48799428
1950,ConocoPhillips,Investor-owned Company,111.6256187
1951,ConocoPhillips,Investor-owned Company,130.4926743
1952,ConocoPhillips,Investor-owned Company,133.9849686
1953,ConocoPhillips,Investor-owned Company,136.2726726
1954,ConocoPhillips,Investor-owned Company,142.0209084
1955,ConocoPhillips,Investor-owned Company,158.4781921
1956,ConocoPhillips,Investor-owned Company,174.0330224
1957,ConocoPhillips,Investor-owned Company,184.917487
1958,ConocoPhillips,Investor-owned Company,185.6233805
1959,ConocoPhillips,Investor-owned Company,208.9446788
1960,ConocoPhillips,Investor-owned Company,223.2235072
1961,ConocoPhillips,Investor-owned Company,227.0060309
1962,ConocoPhillips,Investor-owned Company,226.2757541
1963,ConocoPhillips,Investor-owned Company,236.9497058
1964,ConocoPhillips,Investor-owned Company,249.8355351
1965,ConocoPhillips,Investor-owned Company,260.8328136
1966,ConocoPhillips,Investor-owned Company,270.42245
1967,ConocoPhillips,Investor-owned Company,271.3294469
1968,ConocoPhillips,Investor-owned Company,282.6535701
1969,ConocoPhillips,Investor-owned Company,293.0558853
1970,ConocoPhillips,Investor-owned Company,314.5910064
1971,ConocoPhillips,Investor-owned Company,315.8130781
1972,ConocoPhillips,Investor-owned Company,324.0693404
1973,ConocoPhillips,Investor-owned Company,320.6087783
1974,ConocoPhillips,Investor-owned Company,292.6349229
1975,ConocoPhillips,Investor-owned Company,283.8521242
1976,ConocoPhillips,Investor-owned Company,283.212528
1977,ConocoPhillips,Investor-owned Company,285.9309083
1978,ConocoPhillips,Investor-owned Company,299.1671711
1979,ConocoPhillips,Investor-owned Company,296.1894477
1980,ConocoPhillips,Investor-owned Company,291.1128119
1981,ConocoPhillips,Investor-owned Company,273.3401909
1982,ConocoPhillips,Investor-owned Company,265.3257626
1983,ConocoPhillips,Investor-owned Company,269.6055646
1984,ConocoPhillips,Investor-owned Company,251.5575059
1985,ConocoPhillips,Investor-owned Company,250.2269905
1986,ConocoPhillips,Investor-owned Company,251.0309188
1987,ConocoPhillips,Investor-owned Company,248.2870106
1988,ConocoPhillips,Investor-owned Company,265.0945863
1989,ConocoPhillips,Investor-owned Company,271.094741
1990,ConocoPhillips,Investor-owned Company,272.2883657
1991,ConocoPhillips,Investor-owned Company,274.9423074
1992,ConocoPhillips,Investor-owned Company,279.8983593
1993,ConocoPhillips,Investor-owned Company,279.327838
1994,ConocoPhillips,Investor-owned Company,284.5548084
1995,ConocoPhillips,Investor-owned Company,289.8958891
1996,ConocoPhillips,Investor-owned Company,307.4595779
1997,ConocoPhillips,Investor-owned Company,320.8803047
1998,ConocoPhillips,Investor-owned Company,323.55814
1999,ConocoPhillips,Investor-owned Company,342.0200043
2000,ConocoPhillips,Investor-owned Company,306.6791022
2001,ConocoPhillips,Investor-owned Company,316.1490485
2002,ConocoPhillips,Investor-owned Company,313.8548504
2003,ConocoPhillips,Investor-owned Company,298.8603774
2004,ConocoPhillips,Investor-owned Company,311.1473393
2005,ConocoPhillips,Investor-owned Company,340.1876618
2006,ConocoPhillips,Investor-owned Company,347.1958142
2007,ConocoPhillips,Investor-owned Company,352.8105262
2008,ConocoPhillips,Investor-owned Company,340.3178202
2009,ConocoPhillips,Investor-owned Company,349.5504962
2010,ConocoPhillips,Investor-owned Company,320.0585506
2011,ConocoPhillips,Investor-owned Company,255.9225768
2012,ConocoPhillips,Investor-owned Company,251.2941123
2013,ConocoPhillips,Investor-owned Company,249.3959787
2014,ConocoPhillips,Investor-owned Company,255.2504306
2015,ConocoPhillips,Investor-owned Company,265.3958945
2016,ConocoPhillips,Investor-owned Company,264.487538
2017,ConocoPhillips,Investor-owned Company,245.3164836
2018,ConocoPhillips,Investor-owned Company,232.912536
2019,ConocoPhillips,Investor-owned Company,252.6206276
2020,ConocoPhillips,Investor-owned Company,218.1970881
2021,ConocoPhillips,Investor-owned Company,235.5010759
2022,ConocoPhillips,Investor-owned Company,260.2672082
1864,CONSOL Energy,Investor-owned Company,0.082832578
1865,CONSOL Energy,Investor-owned Company,0.143051845
1866,CONSOL Energy,Investor-owned Company,0.223384675
1867,CONSOL Energy,Investor-owned Company,0.303717508
1868,CONSOL Energy,Investor-owned Company,0.384050337
1869,CONSOL Energy,Investor-owned Company,0.46438317
1870,CONSOL Energy,Investor-owned Company,0.544716
1871,CONSOL Energy,Investor-owned Company,0.625048832
1872,CONSOL Energy,Investor-owned Company,0.705381662
1873,CONSOL Energy,Investor-owned Company,0.785714492
1874,CONSOL Energy,Investor-owned Company,0.866047324
1875,CONSOL Energy,Investor-owned Company,0.946380154
1876,CONSOL Energy,Investor-owned Company,1.026712986
1877,CONSOL Energy,Investor-owned Company,1.107045816
1878,CONSOL Energy,Investor-owned Company,1.187378648
1879,CONSOL Energy,Investor-owned Company,1.267711478
1880,CONSOL Energy,Investor-owned Company,1.348044308
1881,CONSOL Energy,Investor-owned Company,1.42837714
1882,CONSOL Energy,Investor-owned Company,1.50870997
1883,CONSOL Energy,Investor-owned Company,1.589042803
1884,CONSOL Energy,Investor-owned Company,1.669375632
1885,CONSOL Energy,Investor-owned Company,1.749708465
1886,CONSOL Energy,Investor-owned Company,1.830041295
1887,CONSOL Energy,Investor-owned Company,1.910374124
1888,CONSOL Energy,Investor-owned Company,1.990706957
1889,CONSOL Energy,Investor-owned Company,2.071039787
1890,CONSOL Energy,Investor-owned Company,2.151372619
1891,CONSOL Energy,Investor-owned Company,2.231705449
1892,CONSOL Energy,Investor-owned Company,2.312038281
1893,CONSOL Energy,Investor-owned Company,2.392371111
1894,CONSOL Energy,Investor-owned Company,2.472703941
1895,CONSOL Energy,Investor-owned Company,2.553036773
1896,CONSOL Energy,Investor-owned Company,2.633369603
1897,CONSOL Energy,Investor-owned Company,2.713702435
1898,CONSOL Energy,Investor-owned Company,2.794035265
1899,CONSOL Energy,Investor-owned Company,2.874368097
1900,CONSOL Energy,Investor-owned Company,2.954700927
1901,CONSOL Energy,Investor-owned Company,8.53580268
1902,CONSOL Energy,Investor-owned Company,14.11690443
1903,CONSOL Energy,Investor-owned Company,19.69800618
1904,CONSOL Energy,Investor-owned Company,20.21097509
1905,CONSOL Energy,Investor-owned Company,20.723944
1906,CONSOL Energy,Investor-owned Company,21.23691292
1907,CONSOL Energy,Investor-owned Company,21.74988183
1908,CONSOL Energy,Investor-owned Company,22.26285074
1909,CONSOL Energy,Investor-owned Company,22.77581965
1910,CONSOL Energy,Investor-owned Company,23.28878856
1911,CONSOL Energy,Investor-owned Company,23.80175747
1912,CONSOL Energy,Investor-owned Company,24.31472638
1913,CONSOL Energy,Investor-owned Company,24.82769528
1914,CONSOL Energy,Investor-owned Company,25.34066421
1915,CONSOL Energy,Investor-owned Company,25.85363311
1916,CONSOL Energy,Investor-owned Company,26.36660202
1917,CONSOL Energy,Investor-owned Company,26.87957094
1918,CONSOL Energy,Investor-owned Company,27.39253985
1919,CONSOL Energy,Investor-owned Company,27.90550875
1920,CONSOL Energy,Investor-owned Company,28.41847768
1921,CONSOL Energy,Investor-owned Company,28.93144658
1922,CONSOL Energy,Investor-owned Company,29.44441548
1923,CONSOL Energy,Investor-owned Company,29.95738441
1924,CONSOL Energy,Investor-owned Company,30.47035331
1925,CONSOL Energy,Investor-owned Company,30.98332222
1926,CONSOL Energy,Investor-owned Company,31.49629114
1927,CONSOL Energy,Investor-owned Company,32.00926005
1928,CONSOL Energy,Investor-owned Company,29.60488694
1929,CONSOL Energy,Investor-owned Company,27.20051383
1930,CONSOL Energy,Investor-owned Company,24.79614073
1931,CONSOL Energy,Investor-owned Company,22.39176762
1932,CONSOL Energy,Investor-owned Company,19.98739452
1933,CONSOL Energy,Investor-owned Company,17.58302141
1934,CONSOL Energy,Investor-owned Company,20.61044245
1935,CONSOL Energy,Investor-owned Company,18.56480205
1936,CONSOL Energy,Investor-owned Company,21.23855017
1937,CONSOL Energy,Investor-owned Company,23.91229829
1938,CONSOL Energy,Investor-owned Company,26.5860464
1939,CONSOL Energy,Investor-owned Company,29.25979452
1940,CONSOL Energy,Investor-owned Company,31.93354266
1941,CONSOL Energy,Investor-owned Company,34.60729078
1942,CONSOL Energy,Investor-owned Company,37.28103889
1943,CONSOL Energy,Investor-owned Company,39.95478701
1944,CONSOL Energy,Investor-owned Company,42.62853513
1945,CONSOL Energy,Investor-owned Company,45.30228325
1946,CONSOL Energy,Investor-owned Company,47.97603136
1947,CONSOL Energy,Investor-owned Company,50.64977948
1948,CONSOL Energy,Investor-owned Company,53.32352762
1949,CONSOL Energy,Investor-owned Company,55.99727574
1950,CONSOL Energy,Investor-owned Company,58.67102386
1951,CONSOL Energy,Investor-owned Company,61.34477197
1952,CONSOL Energy,Investor-owned Company,64.01852009
1953,CONSOL Energy,Investor-owned Company,69.2326448
1954,CONSOL Energy,Investor-owned Company,74.4467695
1955,CONSOL Energy,Investor-owned Company,79.6608942
1956,CONSOL Energy,Investor-owned Company,86.1317836
1957,CONSOL Energy,Investor-owned Company,91.4231151
1958,CONSOL Energy,Investor-owned Company,96.71444657
1959,CONSOL Energy,Investor-owned Company,102.0057781
1960,CONSOL Energy,Investor-owned Company,107.2971096
1961,CONSOL Energy,Investor-owned Company,112.5884411
1962,CONSOL Energy,Investor-owned Company,117.8797726
1963,CONSOL Energy,Investor-owned Company,123.1711041
1964,CONSOL Energy,Investor-owned Company,128.4624355
1965,CONSOL Energy,Investor-owned Company,133.753767
1966,CONSOL Energy,Investor-owned Company,139.0450985
1967,CONSOL Energy,Investor-owned Company,144.33643
1968,CONSOL Energy,Investor-owned Company,149.6277615
1969,CONSOL Energy,Investor-owned Company,152.1714335
1970,CONSOL Energy,Investor-owned Company,160.0673568
1971,CONSOL Energy,Investor-owned Company,136.8543417
1972,CONSOL Energy,Investor-owned Company,162.2662215
1973,CONSOL Energy,Investor-owned Company,151.0969882
1974,CONSOL Energy,Investor-owned Company,129.3082378
1975,CONSOL Energy,Investor-owned Company,137.2041611
1976,CONSOL Energy,Investor-owned Company,139.6279097
1977,CONSOL Energy,Investor-owned Company,119.9130885
1978,CONSOL Energy,Investor-owned Company,104.4960484
1979,CONSOL Energy,Investor-owned Company,125.2353406
1980,CONSOL Energy,Investor-owned Company,122.31185
1981,CONSOL Energy,Investor-owned Company,105.1707
1982,CONSOL Energy,Investor-owned Company,117.3394173
1983,CONSOL Energy,Investor-owned Company,105.4455581
1984,CONSOL Energy,Investor-owned Company,116.6422772
1985,CONSOL Energy,Investor-owned Company,106.6949131
1986,CONSOL Energy,Investor-owned Company,103.7464354
1987,CONSOL Energy,Investor-owned Company,131.1822702
1988,CONSOL Energy,Investor-owned Company,137.179174
1989,CONSOL Energy,Investor-owned Company,133.6809801
1990,CONSOL Energy,Investor-owned Company,136.429561
1991,CONSOL Energy,Investor-owned Company,137.928787
1992,CONSOL Energy,Investor-owned Company,140.6773679
1993,CONSOL Energy,Investor-owned Company,113.9411718
1994,CONSOL Energy,Investor-owned Company,176.258997
1995,CONSOL Energy,Investor-owned Company,172.7608031
1996,CONSOL Energy,Investor-owned Company,175.0846033
1997,CONSOL Energy,Investor-owned Company,181.9560556
1998,CONSOL Energy,Investor-owned Company,182.8805782
1999,CONSOL Energy,Investor-owned Company,174.6098484
2000,CONSOL Energy,Investor-owned Company,175.2254384
2001,CONSOL Energy,Investor-owned Company,186.6398559
2002,CONSOL Energy,Investor-owned Company,168.4999304
2003,CONSOL Energy,Investor-owned Company,154.1328007
2004,CONSOL Energy,Investor-owned Company,173.2549181
2005,CONSOL Energy,Investor-owned Company,176.6910584
2006,CONSOL Energy,Investor-owned Company,172.5821575
2007,CONSOL Energy,Investor-owned Company,165.7086479
2008,CONSOL Energy,Investor-owned Company,169.1808587
2009,CONSOL Energy,Investor-owned Company,150.307895
2010,CONSOL Energy,Investor-owned Company,166.2398409
2011,CONSOL Energy,Investor-owned Company,92.74462629
2012,CONSOL Energy,Investor-owned Company,82.14278401
2013,CONSOL Energy,Investor-owned Company,87.86415859
2014,CONSOL Energy,Investor-owned Company,107.2660823
2015,CONSOL Energy,Investor-owned Company,115.6951576
2016,CONSOL Energy,Investor-owned Company,102.5772119
2017,CONSOL Energy,Investor-owned Company,65.23881701
2018,CONSOL Energy,Investor-owned Company,68.96439348
2019,CONSOL Energy,Investor-owned Company,67.9260319
2020,CONSOL Energy,Investor-owned Company,46.7022571
2021,CONSOL Energy,Investor-owned Company,58.76970233
2022,CONSOL Energy,Investor-owned Company,59.58087539
2005,Continental Resources,Investor-owned Company,2.932675091
2006,Continental Resources,Investor-owned Company,3.65527252
2007,Continental Resources,Investor-owned Company,4.309686687
2008,Continental Resources,Investor-owned Company,4.897764508
2009,Continental Resources,Investor-owned Company,5.571421857
2010,Continental Resources,Investor-owned Company,6.458769357
2011,Continental Resources,Investor-owned Company,9.240436689
2012,Continental Resources,Investor-owned Company,14.65323556
2013,Continental Resources,Investor-owned Company,20.34751378
2014,Continental Resources,Investor-owned Company,26.08858691
2015,Continental Resources,Investor-owned Company,33.32851296
2016,Continental Resources,Investor-owned Company,32.91386428
2017,Continental Resources,Investor-owned Company,36.78323837
2018,Continental Resources,Investor-owned Company,45.23266327
2019,Continental Resources,Investor-owned Company,51.55044386
2020,Continental Resources,Investor-owned Company,45.76915313
2021,Continental Resources,Investor-owned Company,50.36020314
2022,Continental Resources,Investor-owned Company,61.33078302
1991,Coterra Energy,Investor-owned Company,5.452532542
1992,Coterra Energy,Investor-owned Company,5.689550572
1993,Coterra Energy,Investor-owned Company,5.559398874
1994,Coterra Energy,Investor-owned Company,6.731417911
1995,Coterra Energy,Investor-owned Company,7.231644234
1996,Coterra Energy,Investor-owned Company,7.357501946
1997,Coterra Energy,Investor-owned Company,9.247082826
1998,Coterra Energy,Investor-owned Company,9.860243817
1999,Coterra Energy,Investor-owned Company,10.53626605
2000,Coterra Energy,Investor-owned Company,10.22818497
2001,Coterra Energy,Investor-owned Company,12.4539209
2002,Coterra Energy,Investor-owned Company,15.03030554
2003,Coterra Energy,Investor-owned Company,16.26762584
2004,Coterra Energy,Investor-owned Company,17.50060977
2005,Coterra Energy,Investor-owned Company,15.30785907
2006,Coterra Energy,Investor-owned Company,18.28776396
2007,Coterra Energy,Investor-owned Company,19.03500234
2008,Coterra Energy,Investor-owned Company,20.76018786
2009,Coterra Energy,Investor-owned Company,20.66553286
2010,Coterra Energy,Investor-owned Company,25.91339921
2011,Coterra Energy,Investor-owned Company,29.93944602
2012,Coterra Energy,Investor-owned Company,36.79964327
2013,Coterra Energy,Investor-owned Company,49.43426959
2014,Coterra Energy,Investor-owned Company,62.5597179
2015,Coterra Energy,Investor-owned Company,70.4985733
2016,Coterra Energy,Investor-owned Company,72.1526489
2017,Coterra Energy,Investor-owned Company,82.40289745
2018,Coterra Energy,Investor-owned Company,91.54413643
2019,Coterra Energy,Investor-owned Company,105.2008242
2020,Coterra Energy,Investor-owned Company,100.8869272
2021,Coterra Energy,Investor-owned Company,124.3751164
2022,Coterra Energy,Investor-owned Company,98.81487217
2002,CRH,Investor-owned Company,5.40927
2003,CRH,Investor-owned Company,5.59637025
2004,CRH,Investor-owned Company,5.89559432
2005,CRH,Investor-owned Company,5.96584247
2006,CRH,Investor-owned Company,6.28406394
2007,CRH,Investor-owned Company,7.59999658
2008,CRH,Investor-owned Company,8.63698784
2009,CRH,Investor-owned Company,6.58468448
2010,CRH,Investor-owned Company,6.72796098
2011,CRH,Investor-owned Company,6.8489226
2012,CRH,Investor-owned Company,5.59320676
2013,CRH,Investor-owned Company,5.98771008
2014,CRH,Investor-owned Company,6.25535728
2015,CRH,Investor-owned Company,14.38353904
2016,CRH,Investor-owned Company,14.4934394
2017,CRH,Investor-owned Company,14.8893496
2018,CRH,Investor-owned Company,19.6159637
2019,CRH,Investor-owned Company,19.2611375
2020,CRH,Investor-owned Company,17.0065258
2021,CRH,Investor-owned Company,17.5571892
2022,CRH,Investor-owned Company,16.1469732
1969,Cyprus AMAX Minerals,Investor-owned Company,24.2478035
1970,Cyprus AMAX Minerals,Investor-owned Company,31.01079602
1971,Cyprus AMAX Minerals,Investor-owned Company,28.67315293
1972,Cyprus AMAX Minerals,Investor-owned Company,35.20996534
1973,Cyprus AMAX Minerals,Investor-owned Company,35.80592715
1974,Cyprus AMAX Minerals,Investor-owned Company,42.88071991
1975,Cyprus AMAX Minerals,Investor-owned Company,46.94553493
1976,Cyprus AMAX Minerals,Investor-owned Company,51.98426169
1977,Cyprus AMAX Minerals,Investor-owned Company,60.46020914
1978,Cyprus AMAX Minerals,Investor-owned Company,64.02869742
1979,Cyprus AMAX Minerals,Investor-owned Company,74.28655032
1980,Cyprus AMAX Minerals,Investor-owned Company,87.15717985
1981,Cyprus AMAX Minerals,Investor-owned Company,76.23024668
1982,Cyprus AMAX Minerals,Investor-owned Company,83.68446824
1983,Cyprus AMAX Minerals,Investor-owned Company,86.01614422
1984,Cyprus AMAX Minerals,Investor-owned Company,88.89207075
1985,Cyprus AMAX Minerals,Investor-owned Company,82.24187918
1986,Cyprus AMAX Minerals,Investor-owned Company,76.13773516
1987,Cyprus AMAX Minerals,Investor-owned Company,106.0501766
1988,Cyprus AMAX Minerals,Investor-owned Company,107.8333804
1989,Cyprus AMAX Minerals,Investor-owned Company,113.0653393
1990,Cyprus AMAX Minerals,Investor-owned Company,129.4017761
1991,Cyprus AMAX Minerals,Investor-owned Company,132.4111197
1992,Cyprus AMAX Minerals,Investor-owned Company,128.5419636
1993,Cyprus AMAX Minerals,Investor-owned Company,57.82238833
1994,Cyprus AMAX Minerals,Investor-owned Company,163.7620318
1995,Cyprus AMAX Minerals,Investor-owned Company,163.4245554
1996,Cyprus AMAX Minerals,Investor-owned Company,160.6516602
1997,Cyprus AMAX Minerals,Investor-owned Company,174.5784726
1998,Cyprus AMAX Minerals,Investor-owned Company,55.44715639
1993,Czech Republic,Nation State,136.7211828
1994,Czech Republic,Nation State,123.4162143
1995,Czech Republic,Nation State,120.1392944
1996,Czech Republic,Nation State,123.7386132
1997,Czech Republic,Nation State,118.7197769
1998,Czech Republic,Nation State,108.3147943
1999,Czech Republic,Nation State,94.84782437
2000,Czech Republic,Nation State,104.5181867
2001,Czech Republic,Nation State,106.0323386
2002,Czech Republic,Nation State,101.6214087
2003,Czech Republic,Nation State,102.5035947
2004,Czech Republic,Nation State,102.7762704
2005,Czech Republic,Nation State,99.48812262
2006,Czech Republic,Nation State,100.8948083
2007,Czech Republic,Nation State,100.4505073
2008,Czech Republic,Nation State,96.55926518
2009,Czech Republic,Nation State,90.49142962
2010,Czech Republic,Nation State,88.55382842
2011,Czech Republic,Nation State,93.12996769
2012,Czech Republic,Nation State,89.58518403
2013,Czech Republic,Nation State,78.56106726
2014,Czech Republic,Nation State,75.84530961
2015,Czech Republic,Nation State,74.62875664
2016,Czech Republic,Nation State,70.8676297
2017,Czech Republic,Nation State,68.0729419
2018,Czech Republic,Nation State,64.94125937
2019,Czech Republic,Nation State,60.01075394
2020,Czech Republic,Nation State,45.49907487
2021,Czech Republic,Nation State,45.50434607
2022,Czech Republic,Nation State,50.91630412
1938,Czechoslovakia,Nation State,65.14943431
1939,Czechoslovakia,Nation State,61.7492926
1940,Czechoslovakia,Nation State,58.34915089
1941,Czechoslovakia,Nation State,54.94900918
1942,Czechoslovakia,Nation State,51.54886747
1943,Czechoslovakia,Nation State,48.14872576
1944,Czechoslovakia,Nation State,44.74858405
1945,Czechoslovakia,Nation State,41.34844234
1946,Czechoslovakia,Nation State,37.94830063
1947,Czechoslovakia,Nation State,34.54815892
1948,Czechoslovakia,Nation State,31.14801721
1949,Czechoslovakia,Nation State,30.94111804
1950,Czechoslovakia,Nation State,33.22394366
1951,Czechoslovakia,Nation State,44.83790331
1952,Czechoslovakia,Nation State,56.45186295
1953,Czechoslovakia,Nation State,68.06582259
1954,Czechoslovakia,Nation State,79.67978224
1955,Czechoslovakia,Nation State,91.29374188
1956,Czechoslovakia,Nation State,102.9077015
1957,Czechoslovakia,Nation State,114.5216612
1958,Czechoslovakia,Nation State,126.1356208
1959,Czechoslovakia,Nation State,137.7495804
1960,Czechoslovakia,Nation State,149.3635401
1961,Czechoslovakia,Nation State,158.6559551
1962,Czechoslovakia,Nation State,166.7436255
1963,Czechoslovakia,Nation State,174.9695233
1964,Czechoslovakia,Nation State,177.79571
1965,Czechoslovakia,Nation State,173.0283628
1966,Czechoslovakia,Nation State,171.7997778
1967,Czechoslovakia,Nation State,165.9923576
1968,Czechoslovakia,Nation State,170.4650425
1969,Czechoslovakia,Nation State,179.7160916
1970,Czechoslovakia,Nation State,185.6655295
1971,Czechoslovakia,Nation State,190.7925269
1972,Czechoslovakia,Nation State,184.8281308
1973,Czechoslovakia,Nation State,186.543719
1974,Czechoslovakia,Nation State,189.3671052
1975,Czechoslovakia,Nation State,196.9152784
1976,Czechoslovakia,Nation State,201.4444928
1977,Czechoslovakia,Nation State,207.3194333
1978,Czechoslovakia,Nation State,211.3861029
1979,Czechoslovakia,Nation State,212.8482413
